State,BJP,INC,AITC,ADMK,BSP,CPM,IND,Others,SP,TDP,YSRCP
AD,90882,83144,2283,0,1139,1776,3511,5536,379,0,0
AP,4074374,5555041,0,0,396466,157480,948254,8715102,0,14024369,13919049
AR,265038,242255,8832,0,0,0,2328,56047,0,0,0
AS,5504948,4465460,106632,0,0,64904,1436215,3330178,24649,0,0
BH,10536456,3019424,46839,0,765582,106295,1533181,19183496,98302,0,0
CH,191295,121700,0,0,15934,0,8496,112794,0,0,0
CT,5972689,4702187,16287,0,293876,14849,516417,492472,19907,0,0
DN,80790,74576,0,0,982,0,2786,3190,0,0,0
DD,46956,37737,0,0,490,0,0,729,0,0,0
GA,435102,298130,11932,0,0,0,17093,42324,0,0,0
GJ,15187025,8435583,0,0,242696,28908,540239,788249,24621,0,0
HR,3991553,2634457,4198,0,526961,21158,191272,4079833,7641,0,0
HP,1649770,1258344,0,0,22915,25382,28487,70463,8443,0,0
JK,1151516,814858,0,0,54082,0,223416,1280991,6842,0,0
JH,5205765,1724591,306301,0,140111,68211,426209,4860554,57397,0,0
KA,13338809,12661228,2275,0,264896,35445,483438,3957774,17581,0,0
KL,1854786,5577984,4298,0,71290,3871169,2041679,4311857,0,0,0
LD,187,20130,0,0,0,465,0,21846,488,0,0
MP,16000338,10334725,2114,0,1124480,16364,548791,977885,221265,0,0
MH,13289770,8818659,13359,0,1270612,181590,1576691,23002598,73707,0,0
MN,168246,588703,52644,0,0,0,43012,552287,0,0,0
ML,95959,408856,0,0,0,0,180634,362275,0,0,0
MZ,0,209573,0,0,0,0,198203,11515,0,0,0
DL,3827995,1251370,9917,0,101354,0,261614,2765707,0,0,0
NL,0,313088,0,0,0,0,0,722578,0,0,0
OD,4624376,5585995,30698,0,218272,35943,333061,10317472,20606,0,0
PY,0,194873,0,132640,2060,0,26770,361140,0,0,0
PB,1208440,4575264,0,0,263170,17964,498014,7219317,922,0,0
RJ,14838419,8212394,31141,0,632917,78719,1802623,1087955,15871,0,0
SK,7188,6967,1908,0,0,0,0,279245,0,0,0
TN,2218801,1749116,0,17954612,155833,220238,866040,16774659,16154,0,0
TR,114651,305969,191287,0,0,1287337,17680,68289,0,0,0
UP,34288656,6058202,99462,0,15903395,5634,1414482,4694887,17980240,0,0
UK,2418583,1491851,0,0,207557,6546,76041,111107,17428,0,0
WB,8681131,4942691,20289848,0,252438,11702097,472675,4596904,51648,0,0
